Inferred num_concepts=108 from dataset.
[seed 1] epoch 1/100 loss=5.3463 (cls=5.1342 concept=0.6509 sparsity=1.4633 continuity=0.0135) train_acc=0.0446 val_loss=4.9642 (val_cls=4.8262 val_concept=0.7971 val_sparsity=0.5749 val_continuity=0.0152) val_acc=0.1112
[seed 1] epoch 2/100 loss=4.4632 (cls=4.3143 concept=1.0200 sparsity=0.4616 continuity=0.0155) train_acc=0.2200 val_loss=4.0837 (val_cls=3.9237 val_concept=1.2009 val_sparsity=0.3922 val_continuity=0.0155) val_acc=0.2481
[seed 1] epoch 3/100 loss=3.5992 (cls=3.4275 concept=1.3566 sparsity=0.3522 continuity=0.0156) train_acc=0.4261 val_loss=3.3247 (val_cls=3.1443 val_concept=1.4699 val_sparsity=0.3258 val_continuity=0.0156) val_acc=0.3982
[seed 1] epoch 4/100 loss=2.9109 (cls=2.7228 concept=1.5699 sparsity=0.3037 continuity=0.0157) train_acc=0.5607 val_loss=2.7386 (val_cls=2.5455 val_concept=1.6305 val_sparsity=0.2933 val_continuity=0.0157) val_acc=0.5628
[seed 1] epoch 5/100 loss=2.3892 (cls=2.1912 concept=1.6942 sparsity=0.2778 continuity=0.0158) train_acc=0.6932 val_loss=2.3222 (val_cls=2.1228 val_concept=1.7099 val_sparsity=0.2754 val_continuity=0.0157) val_acc=0.6274
[seed 1] epoch 6/100 loss=2.0004 (cls=1.7979 concept=1.7555 sparsity=0.2619 continuity=0.0158) train_acc=0.7611 val_loss=2.0131 (val_cls=1.8123 val_concept=1.7360 val_sparsity=0.2638 val_continuity=0.0157) val_acc=0.7108
[seed 1] epoch 7/100 loss=1.7083 (cls=1.5041 concept=1.7839 sparsity=0.2511 continuity=0.0158) train_acc=0.8159 val_loss=1.7998 (val_cls=1.5970 val_concept=1.7643 val_sparsity=0.2558 val_continuity=0.0158) val_acc=0.7531
[seed 1] epoch 8/100 loss=1.4812 (cls=1.2769 concept=1.7912 sparsity=0.2435 continuity=0.0158) train_acc=0.8540 val_loss=1.6043 (val_cls=1.4020 val_concept=1.7647 val_sparsity=0.2501 val_continuity=0.0158) val_acc=0.7764
[seed 1] epoch 9/100 loss=1.2955 (cls=1.0928 concept=1.7811 sparsity=0.2377 continuity=0.0158) train_acc=0.8767 val_loss=1.4645 (val_cls=1.2673 val_concept=1.7192 val_sparsity=0.2458 val_continuity=0.0158) val_acc=0.7920
[seed 1] epoch 10/100 loss=1.1501 (cls=0.9494 concept=1.7651 sparsity=0.2334 continuity=0.0158) train_acc=0.8975 val_loss=1.3574 (val_cls=1.1585 val_concept=1.7383 val_sparsity=0.2429 val_continuity=0.0158) val_acc=0.8087
[seed 1] epoch 11/100 loss=1.0227 (cls=0.8244 concept=1.7450 sparsity=0.2302 continuity=0.0158) train_acc=0.9162 val_loss=1.2714 (val_cls=1.0770 val_concept=1.6954 val_sparsity=0.2407 val_continuity=0.0158) val_acc=0.8120
[seed 1] epoch 12/100 loss=0.9166 (cls=0.7208 concept=1.7227 sparsity=0.2274 continuity=0.0158) train_acc=0.9346 val_loss=1.2037 (val_cls=1.0147 val_concept=1.6435 val_sparsity=0.2388 val_continuity=0.0158) val_acc=0.8120
[seed 1] epoch 13/100 loss=0.8277 (cls=0.6349 concept=1.6951 sparsity=0.2248 continuity=0.0158) train_acc=0.9407 val_loss=1.1284 (val_cls=0.9413 val_concept=1.6268 val_sparsity=0.2367 val_continuity=0.0158) val_acc=0.8320
[seed 1] epoch 14/100 loss=0.7527 (cls=0.5628 concept=1.6686 sparsity=0.2229 continuity=0.0158) train_acc=0.9556 val_loss=1.1008 (val_cls=0.9150 val_concept=1.6152 val_sparsity=0.2351 val_continuity=0.0158) val_acc=0.8242
[seed 1] epoch 15/100 loss=0.6917 (cls=0.5037 concept=1.6512 sparsity=0.2213 continuity=0.0158) train_acc=0.9643 val_loss=1.0451 (val_cls=0.8608 val_concept=1.6014 val_sparsity=0.2337 val_continuity=0.0158) val_acc=0.8354
[seed 1] epoch 16/100 loss=0.6309 (cls=0.4464 concept=1.6176 sparsity=0.2196 continuity=0.0158) train_acc=0.9708 val_loss=0.9946 (val_cls=0.8148 val_concept=1.5580 val_sparsity=0.2329 val_continuity=0.0158) val_acc=0.8443
[seed 1] epoch 17/100 loss=0.5760 (cls=0.3935 concept=1.5979 sparsity=0.2185 continuity=0.0158) train_acc=0.9749 val_loss=0.9704 (val_cls=0.7925 val_concept=1.5391 val_sparsity=0.2318 val_continuity=0.0158) val_acc=0.8565
[seed 1] epoch 18/100 loss=0.5376 (cls=0.3578 concept=1.5730 sparsity=0.2174 continuity=0.0158) train_acc=0.9800 val_loss=0.9416 (val_cls=0.7658 val_concept=1.5194 val_sparsity=0.2309 val_continuity=0.0158) val_acc=0.8543
[seed 1] epoch 19/100 loss=0.4905 (cls=0.3140 concept=1.5411 sparsity=0.2163 continuity=0.0158) train_acc=0.9870 val_loss=0.9199 (val_cls=0.7477 val_concept=1.4843 val_sparsity=0.2298 val_continuity=0.0158) val_acc=0.8565
[seed 1] epoch 20/100 loss=0.4585 (cls=0.2847 concept=1.5141 sparsity=0.2153 continuity=0.0158) train_acc=0.9874 val_loss=0.8990 (val_cls=0.7306 val_concept=1.4465 val_sparsity=0.2297 val_continuity=0.0158) val_acc=0.8554
[seed 1] epoch 21/100 loss=0.4258 (cls=0.2543 concept=1.4921 sparsity=0.2145 continuity=0.0158) train_acc=0.9904 val_loss=0.8839 (val_cls=0.7160 val_concept=1.4427 val_sparsity=0.2285 val_continuity=0.0158) val_acc=0.8521
[seed 1] epoch 22/100 loss=0.3972 (cls=0.2286 concept=1.4642 sparsity=0.2137 continuity=0.0158) train_acc=0.9931 val_loss=0.8785 (val_cls=0.7125 val_concept=1.4237 val_sparsity=0.2279 val_continuity=0.0158) val_acc=0.8543
[seed 1] epoch 23/100 loss=0.3750 (cls=0.2082 concept=1.4470 sparsity=0.2136 continuity=0.0158) train_acc=0.9955 val_loss=0.8591 (val_cls=0.6983 val_concept=1.3728 val_sparsity=0.2275 val_continuity=0.0158) val_acc=0.8532
[seed 1] epoch 24/100 loss=0.3532 (cls=0.1891 concept=1.4216 sparsity=0.2122 continuity=0.0158) train_acc=0.9971 val_loss=0.8274 (val_cls=0.6668 val_concept=1.3717 val_sparsity=0.2272 val_continuity=0.0158) val_acc=0.8632
[seed 1] epoch 25/100 loss=0.3296 (cls=0.1682 concept=1.3945 sparsity=0.2119 continuity=0.0158) train_acc=0.9980 val_loss=0.8257 (val_cls=0.6686 val_concept=1.3369 val_sparsity=0.2262 val_continuity=0.0158) val_acc=0.8632
[seed 1] epoch 26/100 loss=0.3156 (cls=0.1566 concept=1.3708 sparsity=0.2112 continuity=0.0158) train_acc=0.9982 val_loss=0.8175 (val_cls=0.6602 val_concept=1.3387 val_sparsity=0.2263 val_continuity=0.0158) val_acc=0.8576
[seed 1] epoch 27/100 loss=0.2988 (cls=0.1419 concept=1.3508 sparsity=0.2108 continuity=0.0158) train_acc=0.9990 val_loss=0.8286 (val_cls=0.6740 val_concept=1.3122 val_sparsity=0.2258 val_continuity=0.0158) val_acc=0.8565
[seed 1] epoch 28/100 loss=0.2879 (cls=0.1329 concept=1.3319 sparsity=0.2102 continuity=0.0158) train_acc=0.9992 val_loss=0.8053 (val_cls=0.6559 val_concept=1.2606 val_sparsity=0.2258 val_continuity=0.0158) val_acc=0.8610
[seed 1] epoch 29/100 loss=0.2740 (cls=0.1213 concept=1.3092 sparsity=0.2099 continuity=0.0158) train_acc=0.9998 val_loss=0.7802 (val_cls=0.6300 val_concept=1.2683 val_sparsity=0.2254 val_continuity=0.0158) val_acc=0.8676
[seed 1] epoch 30/100 loss=0.2642 (cls=0.1138 concept=1.2858 sparsity=0.2096 continuity=0.0158) train_acc=0.9996 val_loss=0.7849 (val_cls=0.6379 val_concept=1.2376 val_sparsity=0.2247 val_continuity=0.0158) val_acc=0.8676
[seed 1] epoch 31/100 loss=0.2569 (cls=0.1082 concept=1.2696 sparsity=0.2094 continuity=0.0159) train_acc=0.9996 val_loss=0.7768 (val_cls=0.6322 val_concept=1.2125 val_sparsity=0.2252 val_continuity=0.0158) val_acc=0.8654
[seed 1] epoch 32/100 loss=0.2493 (cls=0.1024 concept=1.2531 sparsity=0.2088 continuity=0.0159) train_acc=1.0000 val_loss=0.7805 (val_cls=0.6369 val_concept=1.2038 val_sparsity=0.2245 val_continuity=0.0158) val_acc=0.8621
[seed 1] epoch 33/100 loss=0.2409 (cls=0.0957 concept=1.2355 sparsity=0.2085 continuity=0.0158) train_acc=1.0000 val_loss=0.7748 (val_cls=0.6315 val_concept=1.2002 val_sparsity=0.2246 val_continuity=0.0158) val_acc=0.8676
[seed 1] epoch 34/100 loss=0.2345 (cls=0.0910 concept=1.2187 sparsity=0.2083 continuity=0.0158) train_acc=1.0000 val_loss=0.7626 (val_cls=0.6221 val_concept=1.1723 val_sparsity=0.2243 val_continuity=0.0158) val_acc=0.8598
[seed 1] epoch 35/100 loss=0.2278 (cls=0.0857 concept=1.2047 sparsity=0.2082 continuity=0.0159) train_acc=1.0000 val_loss=0.7845 (val_cls=0.6460 val_concept=1.1524 val_sparsity=0.2241 val_continuity=0.0158) val_acc=0.8610
[seed 1] epoch 36/100 loss=0.2232 (cls=0.0827 concept=1.1891 sparsity=0.2077 continuity=0.0159) train_acc=1.0000 val_loss=0.7685 (val_cls=0.6304 val_concept=1.1488 val_sparsity=0.2242 val_continuity=0.0158) val_acc=0.8532
[seed 1] epoch 37/100 loss=0.2173 (cls=0.0783 concept=1.1744 sparsity=0.2077 continuity=0.0159) train_acc=1.0000 val_loss=0.7783 (val_cls=0.6411 val_concept=1.1399 val_sparsity=0.2236 val_continuity=0.0158) val_acc=0.8621
[seed 1] epoch 38/100 loss=0.2143 (cls=0.0765 concept=1.1628 sparsity=0.2076 continuity=0.0158) train_acc=1.0000 val_loss=0.7623 (val_cls=0.6265 val_concept=1.1262 val_sparsity=0.2236 val_continuity=0.0158) val_acc=0.8687
[seed 1] epoch 39/100 loss=0.2096 (cls=0.0728 concept=1.1525 sparsity=0.2069 continuity=0.0159) train_acc=1.0000 val_loss=0.7561 (val_cls=0.6225 val_concept=1.1052 val_sparsity=0.2231 val_continuity=0.0158) val_acc=0.8643
[seed 1] epoch 40/100 loss=0.2056 (cls=0.0702 concept=1.1389 sparsity=0.2067 continuity=0.0159) train_acc=1.0000 val_loss=0.7648 (val_cls=0.6305 val_concept=1.1119 val_sparsity=0.2228 val_continuity=0.0158) val_acc=0.8509
[seed 1] epoch 41/100 loss=0.2023 (cls=0.0682 concept=1.1266 sparsity=0.2066 continuity=0.0159) train_acc=1.0000 val_loss=0.7451 (val_cls=0.6121 val_concept=1.0994 val_sparsity=0.2229 val_continuity=0.0158) val_acc=0.8587
[seed 1] epoch 42/100 loss=0.2000 (cls=0.0667 concept=1.1186 sparsity=0.2066 continuity=0.0159) train_acc=1.0000 val_loss=0.7333 (val_cls=0.6012 val_concept=1.0899 val_sparsity=0.2232 val_continuity=0.0158) val_acc=0.8676
[seed 1] epoch 43/100 loss=0.1961 (cls=0.0640 concept=1.1070 sparsity=0.2063 continuity=0.0159) train_acc=1.0000 val_loss=0.7514 (val_cls=0.6213 val_concept=1.0711 val_sparsity=0.2224 val_continuity=0.0158) val_acc=0.8643
[seed 1] epoch 44/100 loss=0.1933 (cls=0.0621 concept=1.0981 sparsity=0.2061 continuity=0.0159) train_acc=1.0000 val_loss=0.7492 (val_cls=0.6193 val_concept=1.0695 val_sparsity=0.2225 val_continuity=0.0158) val_acc=0.8643
[seed 1] epoch 45/100 loss=0.1908 (cls=0.0606 concept=1.0878 sparsity=0.2062 continuity=0.0159) train_acc=1.0000 val_loss=0.7448 (val_cls=0.6168 val_concept=1.0503 val_sparsity=0.2225 val_continuity=0.0158) val_acc=0.8687
[seed 1] epoch 46/100 loss=0.1884 (cls=0.0591 concept=1.0800 sparsity=0.2058 continuity=0.0159) train_acc=1.0000 val_loss=0.7473 (val_cls=0.6201 val_concept=1.0415 val_sparsity=0.2224 val_continuity=0.0158) val_acc=0.8654
[seed 1] epoch 47/100 loss=0.1868 (cls=0.0583 concept=1.0713 sparsity=0.2054 continuity=0.0159) train_acc=1.0000 val_loss=0.7510 (val_cls=0.6242 val_concept=1.0382 val_sparsity=0.2225 val_continuity=0.0158) val_acc=0.8632
[seed 1] epoch 48/100 loss=0.1844 (cls=0.0566 concept=1.0649 sparsity=0.2055 continuity=0.0159) train_acc=1.0000 val_loss=0.7595 (val_cls=0.6327 val_concept=1.0384 val_sparsity=0.2218 val_continuity=0.0158) val_acc=0.8610
[seed 1] epoch 49/100 loss=0.1830 (cls=0.0558 concept=1.0587 sparsity=0.2054 continuity=0.0159) train_acc=1.0000 val_loss=0.7545 (val_cls=0.6294 val_concept=1.0212 val_sparsity=0.2218 val_continuity=0.0158) val_acc=0.8654
[seed 1] epoch 50/100 loss=0.1811 (cls=0.0546 concept=1.0518 sparsity=0.2051 continuity=0.0159) train_acc=1.0000 val_loss=0.7555 (val_cls=0.6296 val_concept=1.0289 val_sparsity=0.2219 val_continuity=0.0158) val_acc=0.8665
[seed 1] epoch 51/100 loss=0.1796 (cls=0.0539 concept=1.0445 sparsity=0.2048 continuity=0.0159) train_acc=1.0000 val_loss=0.7508 (val_cls=0.6253 val_concept=1.0259 val_sparsity=0.2218 val_continuity=0.0158) val_acc=0.8699
[seed 1] epoch 52/100 loss=0.1774 (cls=0.0523 concept=1.0379 sparsity=0.2049 continuity=0.0159) train_acc=1.0000 val_loss=0.7501 (val_cls=0.6266 val_concept=1.0059 val_sparsity=0.2218 val_continuity=0.0158) val_acc=0.8621
